system:index,District,History,Latitude,Longitude,Material_Involved,Movement_Type,NH_SH_Location,SlNo,Slide_Name,Slide_No,State,slope_deg,.geo
000000000000000023fe,Aizawl,2021 July,23.74256944,92.73774444,Compacted Debris,Subsidence,,22933,Republic Veng cemetary,MIZ/AZL/2022/65,Mizoram,34,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002401,Aizawl,December 2022,23.93202778,92.87436111,Compacted Debris,Debris slide,,22936,Aizawl to Khawruhlian road NH 2,MIZ/AZL/2022/68,Mizoram,34,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002407,Aizawl,July 2022,23.73200035095215,92.75963889,Compacted Debris,Debris slide,,22942,Tuikhurhlu,MIZ/AZL/2022/74,Mizoram,31,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000035a1,Gyalshing,March 2022,27.26352778,88.19047222,Debris,Slide,Sardong,26796,Sardong slide,,Sikkim,34,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003109,Chumoukedima,03 September 2024,25.7802266,93.93616485595703,Debris,Flow,,25781,,3211,Nagaland,26,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000310a,Chumoukedima,03 September 2024,25.7746019,93.9148756,Debris,Slide,,25782,,3212,Nagaland,32,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001666,East Khasi Hills,04 October 2024,25.5667327,91.9146185,Debris,Slide,,20488,,3215,Meghalaya,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001664,West Jaintia Hills,25 May 2020,25.47704743,92.16831285,Debris,Slide,,20486,,3344,Meghalaya,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001667,West Jaintia Hills,26 June 2020,25.28422636,92.11294194,Debris,Slide,,20489,,3351,Meghalaya,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000310e,Kohima,07 July 2025,25.623067,94.114196,Debris,Slide,,25786,,3375,Nagaland,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001704,East Khasi Hills,02 July 2024,25.65057222,91.89351389,Debris,Fall,Umiam Road,20603,Mowing Rim,4694,Meghalaya,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000170a,Eastern-West Khasi Hill,30 May 2025,25.65443889,91.62390833,Debris,Fall,SH-3,20609,Mawblei,4695,Meghalaya,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000170b,Eastern-West Khasi Hill,30 May 2025,25.65443889,91.63345833,Debris,Slide,SH-3,20610,Nongkhlaw,4696,Meghalaya,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000170c,Eastern-West Khasi Hill,30 May 2025,25.65977222,91.63440556,Debris,Fall,SH-3,20611,Nongkhlaw,4697,Meghalaya,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000170e,East Khasi Hills,01 July 2024,25.65341111,91.89819444,Debris,Slide,GS Road,20613,Umiam Hydal Project,4699,Meghalaya,29,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001710,Ri-Bhoi,30 May 2025,25.67032222,91.90487222,Debris,Slide,GS Road,20615,Umsawlum A,4701,Meghalaya,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001713,East Khasi Hills,30 May 2025,25.30127778,91.92198889,Debris,Slide,AH-2,20618,Lait-Sohphie,4702,Meghalaya,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000363f,North Tripura,July 2025,24.485559463500977,92.212277,Debris,slide,,26907,Rajnagar,5707,Tripura,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003642,North Tripura,July 2025,24.314206,92.225824,Debris,slide,Linked road,26910,Jarolmura,5712,Tripura,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003645,North Tripura,"July 2024, July 2025",24.356023,92.225478,Debris,slide,NH-8,26913,Bagbassa,5715,Tripura,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003646,North Tripura,July 2025,24.401199340820312,92.237233,Debris,slide,NH-8,26914,Chanpur,5716,Tripura,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003647,North Tripura,July 2025,24.413873,92.241309,Debris,slide,NH-8,26915,Churaibari,5717,Tripura,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003649,North Tripura,July 2025,24.419026,92.242991,Debris,slide,NH-8,26917,Churaibari,5719,Tripura,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000124b,Noney,Septemebr 2025,24.786937713623047,93.657893,Debris,Slide,NH-37,19590,,5777,Manipur,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000124c,Noney,10 Septemebr 2025,24.788159,93.663215,Debris,fall,NH-37,19591,,5779,Manipur,33,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000124d,Noney,10 Septemebr 2025,24.786357,93.657951,Debris,slide,NH-37,19592,,5780,Manipur,32,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000124f,Kangpokpi,October 2025,24.791125,93.7252197265625,Debris,slide,NH-37,19594,,6782,Manipur,29,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001252,Noney,2024,24.794492721557617,93.652745,Debris,slide,NH-37,19597,,6801,Manipur,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001253,Noney,2024,24.787526,93.662891,Debris,Slide,NH-37,19598,,6802,Manipur,33,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001254,Noney,Septemebr 2025,24.789504,93.66384887695312,Debris,Slide,NH-37,19599,,6803,Manipur,32,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001256,Noney,05 June 2025,24.863924026489258,93.617853,Debris,slide,NH-37,19601,,6831,Manipur,37,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001257,Noney,09 Septemebr 2025,24.862146377563477,93.595644,Debris,slide,NH-37,19602,,6839,Manipur,37,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001258,Noney,1st week of August 2025,24.859576,93.576244,Debris,slide,,19603,,6842,Manipur,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000016fc,South West Khasi Hills,15 June 2024,25.37129167,91.48003056,Debris,Fall,Mawkyrwat-Shillong Road,20595,Jakarm,6874,Meghalaya,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
