system:index,District,History,Latitude,Longitude,Material_Involved,Movement_Type,NH_SH_Location,SlNo,Slide_Name,Slide_No,State,elevation_m,.geo,index_right,osm_id,nearest_road_type,nearest_road_name,nearest_road_ref,road_distance_m
000000000000000023b7,Aizawl,July 2022,23.74194444,92.71027778,Colluvium,Debris slide,,22873,"Hunthar veng, Aizawl",MIZ/AZL/2022/4,Mizoram,784,"{""type"":""MultiPoint"",""coordinates"":[]}",168757,1068111262,residential,,,59.0891541567693
000000000000000023e8,Aizawl,September 2022,23.77166667,92.760498046875,Colluvium,Debris slide,,22915,Muthi,MIZ/AZL/2022/47,Mizoram,1138,"{""type"":""MultiPoint"",""coordinates"":[]}",166111,1062809062,residential,,,6.213581019710153
000000000000000023e9,Aizawl,July 2022,23.77161111,92.75913889,Colluvium,Debris slide,,22916,Muthi Vengthar,MIZ/AZL/2022/48,Mizoram,1056,"{""type"":""MultiPoint"",""coordinates"":[]}",165588,1061615072,unclassified,,,7.028713127370529
000000000000000023b8,Aizawl,April 2020,23.73041667,92.75552778,Compacted Debris,Debris flow,,22874,"Beraw Tlang, Zemabawk, Aizawl",MIZ/AZL/2022/5,Mizoram,929,"{""type"":""MultiPoint"",""coordinates"":[]}",167915,1066318753,residential,,,50.88140341637678
000000000000000023f0,Aizawl,"""July 2004, 2005, 2006, 2008, April",23.73241667,92.71480556,Compacted Debris,Subsidence,,22920,"Kulikawn, Aizawl",MIZ/AZL/2022/52,Mizoram,999,"{""type"":""MultiPoint"",""coordinates"":[]}",65971,908976446,residential,,,24.217563134124035
000000000000000023f2,Aizawl,22 June 2018,23.73053889,92.716019,Compacted Debris,Debris flow,,22921,"Tuikual N, D Mual",MIZ/AZL/2022/53,Mizoram,1040,"{""type"":""MultiPoint"",""coordinates"":[]}",65971,908976446,residential,,,9.93795833602438
000000000000000023f3,Aizawl,1969,23.73055556,92.71527778,Compacted Debris,Debris slide,,22922,"Tuikual N, Local Council House",MIZ/AZL/2022/54,Mizoram,991,"{""type"":""MultiPoint"",""coordinates"":[]}",3259,227231653,tertiary,,,7.53492754998308
000000000000000023f5,Aizawl,August 2022,23.750049591064453,92.7354965209961,Compacted Debris,Debris slide,,22924,Bawngkawn Hmar Veng,MIZ/AZL/2022/56,Mizoram,1036,"{""type"":""MultiPoint"",""coordinates"":[]}",169184,1069172875,residential,,,10.490435365111717
000000000000000023fc,Aizawl,1995,23.718730926513672,92.72297668457033,Compacted Debris,Debris slide,,22931,Republic vengthlang Field,MIZ/AZL/2022/63,Mizoram,973,"{""type"":""MultiPoint"",""coordinates"":[]}",171292,1072523653,residential,,,13.096518426898784
000000000000000023fd,Aizawl,August 2022,23.71824073791504,92.72271728515624,Compacted Debris,Debris slide,,22932,Republic Veng cemetary,MIZ/AZL/2022/64,Mizoram,985,"{""type"":""MultiPoint"",""coordinates"":[]}",172466,1075020951,service,,,18.988398316035905
000000000000000023fe,Aizawl,2021 July,23.74256944,92.73774444,Compacted Debris,Subsidence,,22933,Republic Veng cemetary,MIZ/AZL/2022/65,Mizoram,911,"{""type"":""MultiPoint"",""coordinates"":[]}",169132,1069124879,residential,,,35.348982178689795
00000000000000002401,Aizawl,December 2022,23.93202778,92.87436111,Compacted Debris,Debris slide,,22936,Aizawl to Khawruhlian road NH 2,MIZ/AZL/2022/68,Mizoram,486,"{""type"":""MultiPoint"",""coordinates"":[]}",165763,1062299055,unclassified,,,1024.460659418683
