system:index,aspect_deg,clay_surface_pct,elevation_m,label,lulc_class,sample_id,sample_type,slope_deg,state,.geo
00000000000000000086_0,341,28,990,0,10,135,background,41,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.45607081426249,28.364034780759088]}"
00000000000000000087_0,164,29,168,0,10,136,background,4,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.03278922666726,27.768451747387843]}"
00000000000000000088_0,233,26,1491,0,10,137,background,43,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.56458272630232,28.379395972117532]}"
00000000000000000089_0,264,29,1490,0,10,138,background,26,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.47556883020974,27.75578550188176]}"
0000000000000000008a_0,161,29,653,0,10,139,background,32,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.41016232896214,27.763331350268366]}"
0000000000000000008b_0,174,12,3077,0,10,140,background,21,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.35995565314357,28.6467346006715]}"
0000000000000000008c_0,113,21,3747,0,10,141,background,54,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.40477243725746,28.346787127303994]}"
0000000000000000008d_0,349,27,2417,0,10,142,background,21,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.20569662173284,27.08204903879212]}"
0000000000000000008e_0,52,18,3267,0,10,143,background,44,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.36956305240182,28.67988243465551]}"
0000000000000000008f_0,259,26,4134,0,100,144,background,19,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.7676872377599,28.657783878666173]}"
00000000000000000090_0,328,19,2363,0,10,145,background,29,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.19339427662226,27.886759870306385]}"
00000000000000000091_0,60,14,3755,0,10,146,background,16,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[97.30183922854292,28.186707343673895]}"
00000000000000000092_0,74,14,4396,0,60,147,background,41,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.89085998605822,28.25785391417616]}"
00000000000000000093_0,6,25,1469,0,10,148,background,34,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.02522965543511,27.196045248346884]}"
00000000000000000094_0,90,30,428,0,10,149,background,2,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.90397081492449,28.088880809233277]}"
00000000000000000095_0,149,16,3612,0,10,150,background,34,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.87710203936564,28.62328857175598]}"
00000000000000000096_0,26,21,2999,0,10,151,background,31,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.25574193162203,28.409848860249184]}"
00000000000000000097_0,327,13,3164,0,10,152,background,31,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.11838037611642,27.65229958115119]}"
00000000000000000098_0,20,18,2752,0,10,153,background,59,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.47260438977219,28.297739112791067]}"
00000000000000000099_0,26,26,1937,0,10,154,background,24,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.42839355494795,27.177450121965613]}"
0000000000000000009a_0,219,28,1276,0,10,155,background,19,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.82212514397753,27.680596512600957]}"
0000000000000000009b_0,145,30,773,0,30,156,background,30,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.02999987500465,28.366729726611446]}"
0000000000000000009c_0,210,24,275,0,10,157,background,2,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.97269193415963,28.029053011310918]}"
0000000000000000009d_0,140,27,1097,0,10,158,background,27,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.14713561377198,28.292888210256823]}"
0000000000000000009e_0,282,17,4632,0,60,159,background,29,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[97.24362839813193,28.054924491493562]}"
0000000000000000009f_0,48,30,393,0,10,160,background,25,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.44088471167902,27.748239653495155]}"
000000000000000000a0_0,293,18,4855,0,70,161,background,32,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.50250456588782,28.637032795603012]}"
000000000000000000a1_0,151,17,4485,0,70,162,background,8,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.71019048529439,27.887298859476857]}"
000000000000000000a2_0,21,26,274,0,10,163,background,9,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.1715789380637,27.379571060892502]}"
000000000000000000a3_0,132,30,1511,0,10,164,background,8,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.19285528745178,27.17259921943137]}"
