SlNo,State,District,Latitude,Longitude,event_date
23500,Mizoram,Aizawl,23.74361111,92.85416667,2024-09-25
23501,Mizoram,Aizawl,23.76111111,92.84777778,2024-07-02
23502,Mizoram,Aizawl,23.76166667,92.85083333,2024-07-02
23506,Mizoram,Aizawl,23.77400016784668,92.8479995727539,2024-06-28
23509,Mizoram,Aizawl,23.77166667,92.84805556,2023-07-23
23519,Mizoram,Aizawl,23.83277778,92.8324966430664,2024-07-02
23523,Mizoram,Aizawl,23.86222222,92.83666667,2024-07-02
23525,Mizoram,Aizawl,23.87777778,92.84083333,2024-09-25
23527,Mizoram,Aizawl,23.89277778,92.85083333,2024-09-28
23528,Mizoram,Aizawl,23.89138889,92.84888889,2024-07-02
23533,Mizoram,Aizawl,24.03503889,93.54139444,2024-09-28
23535,Mizoram,Aizawl,24.04531667,93.49220278,2024-10-07
23536,Mizoram,Aizawl,24.090024948120117,93.54191667,2024-10-07
23537,Mizoram,Aizawl,24.10864167,93.54198333,2024-09-28
23538,Mizoram,Aizawl,24.12682222,93.54013889,2024-09-28
23540,Mizoram,Aizawl,24.17180556,93.54406667,2024-07-02
23541,Mizoram,Aizawl,24.18291667,93.53441944,2024-07-02
23542,Mizoram,Aizawl,24.18566111,93.53935278,2024-07-02
23543,Mizoram,Aizawl,24.24449722,93.55275833,2024-07-02
23544,Mizoram,Aizawl,24.24755556,93.54809722,2024-07-02
23545,Mizoram,Aizawl,24.28840278,93.58591389,2024-08-13
23546,Mizoram,Aizawl,24.29982222,93.59040833,2024-08-13
23547,Mizoram,Aizawl,24.30768611,93.58120556,2024-08-13
23549,Mizoram,Aizawl,24.33915833,93.66233611,2024-08-13
23550,Mizoram,Aizawl,24.33331944,93.65702778,2024-08-13
23551,Mizoram,Aizawl,24.33300556,93.65357222,2024-09-28
23552,Mizoram,Aizawl,24.330900192260746,93.66054444,2024-08-13
23554,Mizoram,Aizawl,24.39255556,93.65468611,2024-08-13
23558,Mizoram,Aizawl,24.48458889,93.58781944,2024-08-13
23560,Mizoram,Aizawl,24.51785556,93.55086944,2024-08-13
23562,Mizoram,Aizawl,24.52308611,93.57206944,2024-09-28
23563,Mizoram,Aizawl,24.48338333,93.58848056,2024-09-28
23580,Mizoram,Aizawl,23.09758333,93.21623333,2024-07-02
23581,Mizoram,Aizawl,23.10851389,93.20974731445312,2024-06-28
23583,Mizoram,Aizawl,23.10192489624023,93.20426111,2024-07-02
23584,Mizoram,Aizawl,23.10184722,93.20138889,2024-09-28
23587,Mizoram,Aizawl,23.09759444,93.21089444,2024-07-02
23590,Mizoram,Aizawl,23.10100556,93.19393611,2024-07-02
23591,Mizoram,Aizawl,23.10074722,93.18785278,2024-07-02
23592,Mizoram,Aizawl,23.09954722,93.18600278,2024-07-02
23595,Mizoram,Aizawl,23.09830093383789,93.17597222,2024-07-02
23597,Mizoram,Aizawl,23.25986389,93.16155278,2024-10-28
23598,Mizoram,Aizawl,23.25828611,93.15288333,2024-11-28
23599,Mizoram,Aizawl,23.26126111,93.15070556,2024-11-28
23600,Mizoram,Aizawl,23.25951944,93.15917222,2024-09-28
23601,Mizoram,Aizawl,23.27598056,93.14351667,2024-07-02
23603,Mizoram,Aizawl,23.28107452392578,93.144075,2024-07-02
23604,Mizoram,Aizawl,23.32829167,93.12184167,2024-09-28
23605,Mizoram,Aizawl,23.33529167,93.11214167,2024-07-02
23623,Mizoram,Aizawl,23.34297778,93.057775,2024-09-13
23624,Mizoram,Aizawl,23.35406111,93.04156111,2024-09-28
23625,Mizoram,Aizawl,23.35958611,93.04477222,2024-09-28
23679,Mizoram,Aizawl,23.24231111,93.17726667,2024-07-17
23680,Mizoram,Aizawl,23.24500833,93.17587222,2024-09-24
23681,Mizoram,Aizawl,23.24454722,93.17027222,2024-07-19
23682,Mizoram,Aizawl,23.20960722,93.13104722,2024-07-02
23683,Mizoram,Aizawl,23.21068583,93.1212325,2024-07-02
23722,Mizoram,Aizawl,23.758901,92.730863,2025-05-30
23986,Mizoram,Aizawl,23.468799591064453,92.7208023071289,2025-01-02
